TITLE,COLLECTION,PRICE,CREATOR,OWNER,IMAGE,DESCRIPTION,HISTORY,LINK
NomNom #498,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmRcraQ7JX884qf7xTxF8iFDMQAHr7ee3YJBVnRQf2qWye,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:15 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:04 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:29 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41170
NomNom #497,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmevrghHhZsWdSCRNag23QqZg7wLRsUnGBUtWa8kw2bMpX,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:32:50 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:05 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:30 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41171
3D Black Panther,Superheroes ,0.01 BNB (4.32 USD) ,@metaproducts ,@AahilVir ,https://wazirx-nft-production.imgix.net/nft/Qmeoe9nfxFQY2bJg8sTdMNzBqHZbGZVpsXJxNmge5mx11L,"In this collection, you can buy 3D Superhero models.","['Auction won by @AahilVir28 Mar 2022 11:32:46 AM for 0.01 BNB4.32 USD', 'Bid placed by @AahilVir28 Mar 2022 09:01:53 AM for 0.01 BNB4.32 USD', 'Bid placed by @sokomsingh27 Mar 2022 11:01:03 AM for 0.009 BNB3.89 USD', 'Listed by @metaproducts27 Mar 2022 01:03:27 AM for 0.009 BNB3.89 USD', 'Listed by @metaproducts22 Mar 2022 12:09:57 PM for 0.024 BNB10.37 USD', 'Minted by @metaproducts22 Mar 2022 12:08:30 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/40256
NomNom #496,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmPjWM9SyoFNHfZZzZhW8K6978kNNcxyfCQ1UpuH9Dj9fs,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:32:02 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:07 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:31 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41172
NEW HOME,-,0.0083 BNB (3.59 USD) ,@Vpnprasad ,@Vpnprasad ,unable to fetch,"Once seen as the center of the universe, Earth has suffered a series of demotions over the past few hundred years. Now, in an age of fast-paced discovery, we’ve learned we’re likely just one of trillions of planets in the Milky Way galaxy – and among the smaller ones at that. Earth won’t always be f...read more","['Bid placed by @Shadyholders28 Mar 2022 11:46:33 AM for 0.0083 BNB3.59 USD', 'Bid placed by @tripplevibes28 Mar 2022 11:31:52 AM for 0.0075 BNB3.24 USD', 'Bid placed by @Shadyholders28 Mar 2022 11:15:38 AM for 0.0068 BNB2.94 USD', 'Bid placed by @tripplevibes28 Mar 2022 10:05:28 AM for 0.0061 BNB2.64 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 11:45:32 PM for 0.0055 BNB2.38 USD', 'Bid placed by @PaPaJiCollects27 Mar 2022 01:24:27 PM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad27 Mar 2022 11:56:22 AM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad02 Mar 2022 06:48:58 PM for 0.15 BNB64.8 USD', 'Minted by @Vpnprasad02 Mar 2022 06:47:56 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/36023
Cyborg Lady x Bonnodik #34,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmXHQFwtGRssiiuJMcSMFE5bjXyxoB7F3BYQz6vqWPVeA5,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:30:13 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:13:44 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:12:55 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41192
Koala Club #111,Koala-Club ,10.72 WRX (7.35 USD) ,@Aladeen2 ,@Aladeen2 ,https://wazirx-nft-production.imgix.net/nft/QmcjgXck2tWZ27mPcuwFeAa5xGxfmfbeTVaGGrMg4L4WzH,A part of koala club. A universe of koalas and their funky fashion sense.,"['Bid placed by @Nishan19728 Mar 2022 11:29:13 AM for 10.72 WRX7.35 USD', 'Bid placed by @0xF9...66Aa28 Mar 2022 10:36:00 AM for 9.74 WRX6.68 USD', 'Bid placed by @Nishan19728 Mar 2022 08:46:39 AM for 8.85 WRX6.07 USD', 'Bid placed by @0xF9...66Aa27 Mar 2022 04:24:20 PM for 8 WRX5.49 USD', 'Bid placed by @Nishan19727 Mar 2022 12:28:19 PM for 6 WRX4.12 USD', 'Listed by @Aladeen206 Mar 2022 11:23:18 PM for 6 WRX4.12 USD', 'Minted by @Aladeen206 Mar 2022 11:22:19 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/37030
NomNom #491,Logical-Friends-X-Deepakshi ,0.044 BNB (19.01 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/Qme99WJBWj2ABckc27Ne8jPvLfq6ysX5XYvCF3JHheSViJ,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @Flycatcher28 Mar 2022 12:01:08 PM for 0.044 BNB19.01 USD', 'Bid placed by @mmondal28 Mar 2022 11:28:24 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:56 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:33:10 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41160
NomNom #499,Logical-Friends-X-Deepakshi ,0.056 BNB (24.19 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmdaamQtKZT5CbrJFzWD6ypXvTv1d6X954NLXFWcrqdu41,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @PrinceArora213428 Mar 2022 11:39:16 AM for 0.056 BNB24.19 USD', 'Bid placed by @AthiraDev28 Mar 2022 11:26:57 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:04 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:28 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41169
NomNom #500,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmVuXpiLzh2NrZMVZRfaC4yeKYXvxjkz4AMnb2Kzfztch6,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:34:36 AM for 0.1 BNB43.2 USD', 'Bid placed by @psdpixology28 Mar 2022 11:18:29 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:02 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:26 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41168
